REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Delaware,2024,43,X,X,X,X,X,X
District of Columbia,2024,43,X,X,X,X,X,X
Florida,2024,43,330,4,2,1.82,1.21,0.61
Georgia,2024,43,1205,6,0,0.5,0.5,0
Hawaii,2024,43,830,19,1,2.41,2.29,0.12
Idaho,2024,43,354,1,0,0.28,0.28,0
Illinois,2024,43,394,4,1,1.27,1.02,0.25
Indiana,2024,43,281,2,1,1.07,0.71,0.36
Iowa,2024,43,1631,2,0,0.12,0.12,0
Kansas,2024,43,X,X,X,X,X,X
Kentucky,2024,43,699,3,3,0.86,0.43,0.43
Louisiana,2024,43,75,3,0,4,4,0
Maine,2024,43,987,2,0,0.2,0.2,0
Maryland,2024,43,463,1,1,0.43,0.22,0.22
Massachusetts,2024,43,2007,10,3,0.65,0.5,0.15
Michigan,2024,43,518,5,0,0.97,0.97,0
Minnesota,2024,43,1569,4,2,0.38,0.25,0.13
Mississippi,2024,43,230,1,9,4.35,0.43,3.91
Missouri,2024,43,3459,17,0,0.49,0.49,0
Montana,2024,43,372,2,1,0.81,0.54,0.27
Nebraska,2024,43,1228,6,1,0.57,0.49,0.08
Nevada,2024,43,616,39,0,6.33,6.33,0
New Hampshire,2024,43,X,X,X,X,X,X
New Jersey,2024,43,1273,7,0,0.55,0.55,0
New Mexico,2024,43,2997,18,5,0.77,0.6,0.17
New York,2024,43,3479,5,0,0.14,0.14,0
North Carolina,2024,43,3010,28,2,1,0.93,0.07
North Dakota,2024,43,290,1,0,0.34,0.34,0
Ohio,2024,43,7062,29,4,0.47,0.41,0.06
Oklahoma,2024,43,556,4,0,0.72,0.72,0
Oregon,2024,43,1780,12,0,0.67,0.67,0
Pennsylvania,2024,43,1358,16,0,1.18,1.18,0
Rhode Island,2024,43,X,X,X,X,X,X
South Carolina,2024,43,350,0,0,0,0,0
South Dakota,2024,43,115,0,0,0,0,0
Tennessee,2024,43,22,0,0,0,0,0
Texas,2024,43,5592,101,5,1.9,1.81,0.09
Utah,2024,43,X,X,X,X,X,X
Vermont,2024,43,442,3,0,0.68,0.68,0
Virginia,2024,43,1339,6,1,0.52,0.45,0.07
Washington,2024,43,2471,33,6,1.58,1.34,0.24
West Virginia,2024,43,1037,2,1,0.29,0.19,0.1
Wisconsin,2024,43,8122,19,15,0.42,0.23,0.18
Wyoming,2024,43,X,X,X,X,X,X
Puerto Rico,2024,43,X,X,X,X,X,X
Virgin Islands,2024,43,X,X,X,X,X,X
New York City,2024,43,X,X,X,X,X,X
Alabama,2024,44,341,2,0,0.59,0.59,0
Alaska,2024,44,X,X,X,X,X,X
Arizona,2024,44,427,24,0,5.62,5.62,0
Arkansas,2024,44,488,3,0,0.61,0.61,0
California,2024,44,11249,223,14,2.11,1.98,0.12
Colorado,2024,44,1224,17,0,1.39,1.39,0
Connecticut,2024,44,1589,8,3,0.69,0.5,0.19
Delaware,2024,44,X,X,X,X,X,X
District of Columbia,2024,44,X,X,X,X,X,X
Florida,2024,44,321,9,1,3.12,2.8,0.31
Georgia,2024,44,2096,21,0,1,1,0
Hawaii,2024,44,718,17,0,2.37,2.37,0
Idaho,2024,44,294,4,0,1.36,1.36,0
Illinois,2024,44,139,1,0,0.72,0.72,0
Indiana,2024,44,279,3,0,1.08,1.08,0
Iowa,2024,44,1625,18,1,1.17,1.11,0.06
Kansas,2024,44,X,X,X,X,X,X
Kentucky,2024,44,747,1,0,0.13,0.13,0
Louisiana,2024,44,66,0,0,0,0,0
Maine,2024,44,869,4,0,0.46,0.46,0
Maryland,2024,44,465,0,0,0,0,0
Massachusetts,2024,44,1647,14,6,1.21,0.85,0.36
Michigan,2024,44,508,3,0,0.59,0.59,0
Minnesota,2024,44,1589,2,2,0.25,0.13,0.13
Mississippi,2024,44,227,3,7,4.41,1.32,3.08
Missouri,2024,44,3233,12,2,0.43,0.37,0.06
Montana,2024,44,360,0,0,0,0,0
Nebraska,2024,44,1347,20,3,1.71,1.48,0.22
Nevada,2024,44,729,36,1,5.08,4.94,0.14
New Hampshire,2024,44,X,X,X,X,X,X
New Jersey,2024,44,586,14,0,2.39,2.39,0
New Mexico,2024,44,3428,46,2,1.4,1.34,0.06
New York,2024,44,3142,9,0,0.29,0.29,0
North Carolina,2024,44,3076,25,0,0.81,0.81,0
North Dakota,2024,44,276,2,0,0.72,0.72,0
Ohio,2024,44,7008,45,3,0.68,0.64,0.04
Oklahoma,2024,44,497,1,0,0.2,0.2,0
Oregon,2024,44,1753,19,0,1.08,1.08,0
Pennsylvania,2024,44,1267,9,1,0.79,0.71,0.08
Rhode Island,2024,44,X,X,X,X,X,X
South Carolina,2024,44,353,3,0,0.85,0.85,0
South Dakota,2024,44,129,0,0,0,0,0
