AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Georgia,All,2023-24,17,,5.1,5.4,1,85,8,91,"1,690",> 100%
State,Georgia,All,2023-24,18,,5.3,6,0,91,16,102,"1,711",> 100%
State,Georgia,All,2023-24,19,,4.5,4.8,1,78,9,83,"1,747",> 100%
State,Georgia,All,2023-24,20,,5.1,5.4,1,87,13,93,"1,738",> 100%
State,Georgia,All,2023-24,21,,5.2,5.7,1,91,15,102,"1,777",> 100%
State,Georgia,All,2023-24,22,,5,5.2,0,86,8,90,"1,725",> 100%
State,Georgia,All,2023-24,23,,5.2,5.4,0,92,6,95,"1,758",> 100%
State,Georgia,All,2023-24,24,,4.1,4.4,2,69,8,76,"1,745",> 100%
State,Georgia,All,2023-24,25,,5,5.3,0,82,9,88,"1,648",> 100%
State,Georgia,All,2023-24,26,,3.8,4.3,0,66,11,74,"1,737",> 100%
State,Georgia,All,2023-24,27,,5.1,5.7,0,88,15,99,"1,740",> 100%
State,Georgia,All,2023-24,28,,4,4.4,3,66,10,76,"1,729",> 100%
State,Georgia,All,2023-24,29,,4.8,5.3,1,81,16,92,"1,725",> 100%
State,Georgia,All,2023-24,30,,4.8,5.6,0,80,15,93,"1,664",> 100%
State,Georgia,All,2023-24,31,,4.4,5.4,0,76,29,93,"1,717",> 100%
State,Georgia,All,2023-24,32,,4.9,5.8,0,85,34,99,"1,718",> 100%
State,Georgia,All,2023-24,33,,5.1,6.4,1,88,32,112,"1,761",> 100%
State,Georgia,All,2023-24,34,,5,6.4,3,84,34,111,"1,739",> 100%
State,Georgia,All,2023-24,35,,4.9,6.4,0,89,44,116,"1,809",> 100%
State,Georgia,All,2023-24,36,,5.6,6.8,1,98,39,121,"1,782",> 100%
State,Georgia,All,2023-24,37,,4.3,5.3,0,74,32,92,"1,732",> 100%
State,Georgia,All,2023-24,38,,4.6,5.4,1,74,25,89,"1,644",> 100%
State,Georgia,All,2023-24,39,,4.2,5.4,1,73,29,95,"1,752",> 100%
State,Hawaii,All,2023-24,40,,5.2,7.4,0,12,6,17,230,> 100%
State,Hawaii,All,2023-24,41,,6.3,6.8,1,13,5,15,222,> 100%
State,Hawaii,All,2023-24,42,,5.6,7,0,12,4,15,215,> 100%
State,Hawaii,All,2023-24,43,,7.2,8.9,0,17,5,21,236,> 100%
State,Hawaii,All,2023-24,44,,6.3,7.2,1,13,4,16,222,> 100%
State,Hawaii,All,2023-24,45,,6.8,7.7,0,16,6,18,235,> 100%
State,Hawaii,All,2023-24,46,,5.2,6,0,13,3,15,251,> 100%
State,Hawaii,All,2023-24,47,,6.4,7.2,2,13,3,17,235,> 100%
State,Hawaii,All,2023-24,48,,8,8.4,0,20,2,21,250,> 100%
State,Hawaii,All,2023-24,49,,7.9,7.9,4,13,3,17,215,> 100%
State,Hawaii,All,2023-24,50,,5.8,6.2,1,13,2,15,241,> 100%
State,Hawaii,All,2023-24,51,,5.8,6.2,1,13,2,15,243,> 100%
State,Hawaii,All,2023-24,52,,5.4,5.4,2,12,1,14,257,> 100%
State,Hawaii,All,2023-24,1,,8.2,9.3,1,22,4,26,281,> 100%
State,Hawaii,All,2023-24,2,,9.1,9.8,3,23,3,28,286,> 100%
State,Hawaii,All,2023-24,3,,9.5,9.8,0,27,4,28,285,> 100%
State,Hawaii,All,2023-24,4,,7.2,7.6,0,20,5,21,276,> 100%
State,Hawaii,All,2023-24,5,,9.6,10.7,2,25,6,30,281,> 100%
State,Hawaii,All,2023-24,6,,9.5,10.4,1,22,6,25,241,> 100%
State,Hawaii,All,2023-24,7,,5.5,7.5,0,14,8,19,253,> 100%
State,Hawaii,All,2023-24,8,,5.2,5.9,0,14,3,16,269,> 100%
State,Hawaii,All,2023-24,9,,7.7,9.4,0,18,5,22,235,> 100%
State,Hawaii,All,2023-24,10,,6.3,6.7,0,14,1,15,223,> 100%
State,Hawaii,All,2023-24,11,,6.4,6.8,1,15,2,17,249,> 100%
